instrument,expectancy_1d,trades_1d,wins_1d,losses_1d,flats_1d,sum_r_1d,winrate_1d,expectancy_timeframe,trades_timeframe,wins_timeframe,losses_timeframe,flats_timeframe,sum_r_timeframe,winrate_timeframe
DBB,0.000980269954894281,1021,415,606,0,1.000855623947061,40.646425073457394,-0.03147403380468933,138,53,85,0,-4.343416665047127,38.405797101449274
NESN.SW,-0.003116989438398609,3539,234,364,2941,-11.031025622492677,6.612037298671941,-0.03159160796649463,100,38,62,2941,-3.159160796649463,38.0
EWZ,0.0025220947892841427,969,389,580,0,2.4439098508163344,40.14447884416924,-0.03206467305724155,120,46,74,0,-3.8477607668689857,38.333333333333336
OPL.WA,0.010080316469499275,599,244,355,0,6.038109565230066,40.73455759599332,-0.032312881036904335,84,32,52,0,-2.714282007099964,38.095238095238095
BOS.WA,0.04104747657801861,904,390,514,0,37.106918826528826,43.141592920353986,-0.03374648045490432,114,45,69,0,-3.847098771859092,39.473684210526315
LIN,-0.008712121212121109,880,354,525,1,-7.6666666666665755,40.22727272727273,-0.03431460679905927,87,32,55,1,-2.9853707915181564,36.7816091954023
TEN.WA,0.019477788702058896,158,65,93,0,3.0774906149253054,41.139240506329116,-0.03537511220617969,72,28,44,0,-2.5470080788449376,38.88888888888889
NG=F,0.04922894424673789,562,236,325,1,27.666666666666696,41.99288256227758,-0.03819149615571929,90,33,57,1,-3.4372346540147363,36.666666666666664
GLD,0.007002512613312128,976,397,579,0,6.834452310592638,40.67622950819672,-0.038286847573224356,132,49,83,0,-5.053863879665615,37.121212121212125
UNG,0.016316108777752733,804,331,473,0,13.118151457313198,41.16915422885572,-0.04176577373890512,146,56,90,0,-6.097802965880147,38.35616438356164
XLI,0.03344307769341638,847,353,494,0,28.326286806323672,41.67650531286895,-0.042156276148051196,91,35,56,0,-3.836221129472659,38.46153846153847
SOYB,0.050821726748463324,440,189,251,0,22.36155976932386,42.95454545454545,-0.04395449730575905,125,46,79,0,-5.494312163219882,36.8
LQD,-0.027347072663816568,736,283,453,0,-20.127445480568994,38.45108695652174,-0.0504269023249406,117,44,73,0,-5.89994757201805,37.60683760683761
HG=F,0.008286554397220008,1247,511,735,1,10.33333333333335,40.97834803528468,-0.05098456761883248,63,24,39,1,-3.212027759986446,38.095238095238095
MA,0.10031326568677636,565,250,315,0,56.67699511302864,44.24778761061947,-0.05117353915757509,84,31,53,0,-4.298577289236308,36.904761904761905
IEF,-0.09966042932847372,895,321,574,0,-89.19608424898398,35.865921787709496,-0.05362683578434426,116,43,73,0,-6.220712950983934,37.06896551724138
KER.WA,0.03204085917705688,464,193,271,0,14.866958658154394,41.5948275862069,-0.05367854394163366,106,42,64,0,-5.689925657813168,39.62264150943396
SI=F,0.0541321185705854,1946,819,1081,46,105.34110273835918,42.086330935251794,-0.054340920163488036,72,27,45,46,-3.9125462517711385,37.5
WEAT,0.04256474339358323,404,168,236,0,17.196156331007625,41.584158415841586,-0.05456811948549134,102,39,63,0,-5.565948187520116,38.23529411764706
ING.WA,-0.020463469584808474,650,253,397,0,-13.30125523012551,38.92307692307692,-0.05548266166822808,55,20,35,0,-3.0515463917525443,36.36363636363637
LPP.WA,0.022029219040972967,727,293,434,0,16.015242242787348,40.30261348005502,-0.05571067677170548,109,41,68,0,-6.072463768115897,37.61467889908257
CPER,0.13495588977149633,1009,466,543,0,136.1704927794398,46.18434093161546,-0.05855947669645219,106,41,65,0,-6.207304529823932,38.67924528301887
VTI,-0.04441677044416765,803,307,495,1,-35.66666666666662,38.23163138231631,-0.05887725005933764,81,30,51,1,-4.769057254806349,37.03703703703704
AVAX-USD,0.15884762488822726,113,52,61,0,17.94978161236968,46.017699115044245,-0.06083157125914086,109,41,68,0,-6.630641267246354,37.61467889908257
IAU,0.022578604155490827,954,393,561,0,21.53998836433825,41.19496855345912,-0.062296978213792514,134,49,85,0,-8.347795080648197,36.56716417910448
EWG,-0.03655934979283593,1589,622,967,0,-58.09280682081629,39.14411579609817,-0.062423264616247545,143,54,89,0,-8.9265268401234,37.76223776223776
EWL,0.008136346437271607,1368,557,811,0,11.130521926187559,40.716374269005854,-0.06243252422255103,147,54,93,0,-9.177581060715001,36.734693877551024
HO=F,-0.004589787722317733,581,230,350,1,-2.666666666666603,39.586919104991395,-0.07309570877677571,65,24,41,1,-4.751221070490421,36.92307692307693
MCD,-0.02001133308763377,1034,409,625,0,-20.69171841261332,39.55512572533849,-0.07496817582072195,83,31,52,0,-6.222358593119922,37.34939759036144
T,0.0006903014421912023,1105,451,654,0,0.7627830936212786,40.81447963800905,-0.07884249791330619,87,32,55,0,-6.859297318457639,36.7816091954023
ZS=F,0.0574391061614066,1142,489,653,0,65.59545923632633,42.819614711033275,-0.07950191570881221,84,31,53,0,-6.678160919540225,36.904761904761905
BRK-B,0.03549163476554855,818,339,479,0,29.032157238218712,41.442542787286065,-0.0808698529026999,94,34,60,0,-7.601766172853791,36.17021276595745
ZR=F,0.07129277566540035,2104,692,826,586,150.00000000000233,32.88973384030418,-0.0849593511063629,60,23,37,586,-5.097561066381774,38.333333333333336
ACP.WA,-0.08073606161844624,708,262,446,0,-57.16113162585994,37.005649717514125,-0.08616170953864766,96,35,61,0,-8.271524115710175,36.45833333333333
ERB.WA,-0.02853084836560458,503,197,306,0,-14.351016727899102,39.165009940357855,-0.08859968602732225,113,42,71,0,-10.011764521087414,37.16814159292036
C,0.0015763537621063567,1142,459,683,0,1.8001959963254595,40.19264448336252,-0.08898208033294071,119,43,76,0,-10.588867559619944,36.134453781512605
BCH-USD,0.1674441819175398,93,43,50,0,15.572308918331201,46.236559139784944,-0.08952535665589613,88,32,56,0,-7.87823138571886,36.36363636363637
UNH,0.05686459315111536,1061,449,611,1,60.3333333333334,42.31856738925542,-0.09431434471495666,94,34,60,1,-8.865548403205926,36.17021276595745
PPLT,0.0433295324971495,877,374,502,1,38.000000000000114,42.64538198403649,-0.09843521059344337,134,48,86,1,-13.190318219521412,35.82089552238806
BHW.WA,-0.07526881720430101,713,267,445,1,-53.666666666666615,37.447405329593266,-0.10383796073976016,70,26,44,1,-7.268657251783211,37.142857142857146
CL=F,0.03938110457577445,557,231,326,0,21.93527524870637,41.4721723518851,-0.10651900874781957,96,35,61,0,-10.225824839790679,36.45833333333333
XLP,0.03274107989278327,695,289,406,0,22.75505052548437,41.58273381294964,-0.10964571157116382,106,37,69,0,-11.622445426543365,34.90566037735849
^NDX,0.04036966873202314,1305,545,760,0,52.6824176952902,41.7624521072797,-0.1102302047155421,115,41,74,0,-12.676473542287342,35.65217391304348
AGG,-0.03921408042513975,701,263,438,0,-27.489070378022966,37.51783166904422,-0.1116884559238452,107,37,70,0,-11.950664783851437,34.57943925233645
PG,-0.014324540439746786,906,355,551,0,-12.978033638410588,39.18322295805739,-0.11412344744575867,92,32,60,0,-10.499357165009798,34.78260869565217
BAYN.DE,-0.001846197167114033,776,309,467,0,-1.4326490016804896,39.819587628865975,-0.13909305038682662,97,32,65,0,-13.492025887522184,32.98969072164948
MRK,0.025402229066864315,1061,437,624,0,26.951765039943037,41.1875589066918,-0.1578873485817351,94,31,63,0,-14.841410766683097,32.97872340425532
CPS.WA,-0.006405658750668646,367,147,220,0,-2.350876761495393,40.05449591280654,-0.16957079868258035,89,29,60,0,-15.091801082749651,32.58426966292135
BAC,0.03477453419242593,1177,489,688,0,40.92962674448532,41.54630416312659,-0.16992530562162877,93,30,63,0,-15.803053422811477,32.25806451612903
V,-0.0010366955299035913,460,184,276,0,-0.47687994375565196,40.0,-0.1796756964126347,78,27,51,0,-14.014704320185507,34.61538461538461
CCC.WA,0.08040468583599586,626,270,355,1,50.33333333333341,43.13099041533546,-0.19123204700187343,98,31,67,1,-18.740740606183596,31.63265306122449
MAB.WA,-0.028995605505431024,438,172,266,0,-12.700075211378788,39.26940639269406,-0.20357489481448673,115,36,79,0,-23.411112903665973,31.30434782608696
TLT,-0.009003129450357805,956,382,574,0,-8.606991754542062,39.9581589958159,-0.2068533258945113,124,40,84,0,-25.649812410919402,32.25806451612903
EWC,0.03803148207853942,1263,529,729,5,48.03376186519529,41.88440221694378,-0.2093555921364789,103,32,71,5,-21.563625990057325,31.06796116504854
PFE,0.0637738330046024,1014,429,584,1,64.66666666666684,42.30769230769231,-0.2322633731793406,88,27,61,1,-20.43917683978197,30.681818181818183
CIG.WA,0.09681639419274712,487,213,274,0,47.14958397186785,43.737166324435314,-0.2603229351594937,85,26,59,0,-22.127449488556962,30.58823529411765
RB=F,-0.01878715754633034,674,254,394,26,-12.66254418622665,37.68545994065282,-0.2620664559761319,54,16,38,26,-14.151588622711122,29.629629629629626
ETFBW20TR.WA,0.0857704791246286,230,99,131,0,19.727210198664576,43.04347826086957,-0.2643228589124764,97,29,68,0,-25.639317314510215,29.896907216494846
SBUX,-0.012075080034367674,822,324,498,0,-9.925715788250228,39.416058394160586,-0.269889819174023,104,31,73,0,-28.068541194098394,29.807692307692307
SLV.WA,0.02666122852275946,169,70,99,0,4.505747620346349,41.42011834319527,-0.2908425096526327,70,19,51,0,-20.358975675684288,27.142857142857142
NIB,-0.031086433274261534,797,318,479,0,-24.77588731958644,39.89962358845671,,,,,,,
JO,-0.08954124831339905,257,95,162,0,-23.012100816543555,36.964980544747085,,,,,,,
JJC,0.06533355708202207,410,178,226,6,26.786758403629047,43.41463414634146,,,,,,,
PL=F,-498.24770487936945,3311,1270,1499,542,-1649698.1508555922,38.356991845363936,,,,,,,
MATIC-USD,0.16937254645529115,141,64,77,0,23.88152905019605,45.39007092198582,,,,,,,
